farmID,annualMY,herdSize,annualMYFPCM,AAFC,CI,culling,avLactOnLeaving,costAAFC,costCI,costCull,totalCost,totalLifeDays,FPcorrfactor,milkLifeDays,OEEEffic,lifetimeYieldKgDay,productiveLifetimeYieldKgDay,Cull_L1,Cull_L2,Cull_L3,Cull_L4,Cull_L5,Cull_L6,Cull_L6over,CH4MJdLife,propCH4Milk,propCH4ForLactatingPeriods,eCO2 TyearGWP100,Repeat01,Repeat02,Repeat03,Repeat04,Repeat05,CH4_kgFPCM,CH4ForHeifer,CH4Maint,CH4Milk,CH4Preg+Dry,eCO2GWP100Heifer,eCO2GWP100Maint,eCO2GWP100Milk,eCO2GWP100Preg,eCO2GWP100Total,eCO2GWP*HeiferRearing,eCO2GWP*Maint,eCO2GWP*Milk,eCO2GWP*PregDry,eCO2GWP*Total,BFAnnualAvg,milkProteinAnnualAvg,milkButterFatKgYear,milkProteinKgYear
1,12182,367,11808,734,398,27.7,2.77,0.12,0.39,0.2,0.7,1802.8,0.97,922.2,0.51,18.9,36.9,0.21,0.25,0.28,0.36,0.22,0.67,0.67,27.1,0.61,0.82,2.747,0.386,0.079,0.076,0.211,0.02,0.8591,5.5708,5.3232,14.7898,1.42,0.0793,0.0758,0.2106,0.0202,0.386,0.2729,0.2608,0.7246,0.0696,1.3279,3.8007,3.2119,463.01,391.28
2,11802,49,11286,731,416,12.3,2.86,0,0.9,-0.92,-0.02,1845.2,0.96,940.3,0.51,18.6,36.5,0.06,0.21,0,0.29,0.29,0,0,27.11,0.605,0.820,2.7499,0.3863,0.0772,0.0754,0.2103,0.0234,0.8597,5.4177,5.2889,14.7547,1.6452,0.0772,0.0754,0.2103,0.0234,0.3863,0.2656,0.2593,0.7233,0.0806,1.3288,3.6417,3.2961,429.79,389.01
3,10409,285,11585,751,367,20.4,3.56,0.49,0.09,-0.41,0.17,2035.1,1.11,1092.4,0.54,22,41,0.1,0.08,0.22,0.22,0.33,0.17,0.29,27.24,0.603,0.828,2.7521,0.381,0.0705,0.0783,0.2092,0.0229,0.8479,5.0448,5.5982,14.9603,1.6404,0.0705,0.0783,0.2092,0.0229,0.381,0.2427,0.2693,0.7197,0.0789,1.3106,4.8848,3.3498,508.46,348.68
4,12579,138,13368,728,373,30.9,3.02,-0.02,0.17,0.43,0.58,1841.7,1.06,982,0.53,23.1,43.3,0.16,0.33,0.39,0.24,0.31,0.4,0.29,29.31,0.625,0.836,2.8968,0.3645,0.0691,0.0706,0.2089,0.016,0.8112,5.5543,5.6761,16.8002,1.2834,0.0691,0.0706,0.2089,0.016,0.3645,0.2376,0.2428,0.7186,0.0549,1.2539,4.436,3.412,558,429.19
5,12990,751,12710,734,388,28.8,2.89,0.3,0.49,0.27,1.05,1847.9,0.98,953.1,0.52,20.1,39,0.14,0.27,0.26,0.4,0.53,0.54,0.57,28.13,0.617,0.829,2.8243,0.3762,0.0733,0.0723,0.2101,0.0206,0.8373,5.4832,5.4034,15.7034,1.5366,0.0733,0.0723,0.2101,0.0206,0.3762,0.2523,0.2486,0.7226,0.0707,1.2942,3.8337,3.2781,498,425.83
6,10648,265,10773,780,386,28.1,4.1,0.85,0.52,0.26,1.63,2333.2,1.01,1325.2,0.57,20,35.3,0.02,0.13,0.24,0.35,0.25,0.37,0.4,27.4,0.602,0.837,2.7552,0.3804,0.0632,0.0824,0.2109,0.0238,0.8465,4.5528,5.9376,15.1921,1.7142,0.0632,0.0824,0.2109,0.0238,0.3804,0.2175,0.2836,0.7256,0.0819,1.3085,4.1225,3.2499,438.97,346.05
7,9371,238,12309,747,388,27.1,3.35,0.35,0.46,0.2,1.01,2015.3,1.31,1101.6,0.55,28.2,51.6,0.16,0.18,0.31,0.25,0.21,0.45,0.29,28.73,0.622,0.840,2.8609,0.3649,0.0654,0.0731,0.2078,0.0186,0.812,5.1456,5.7546,16.3626,1.4637,0.0654,0.0731,0.2078,0.0186,0.3649,0.2248,0.2514,0.7149,0.064,1.2552,6.2107,3.8373,582.03,359.61
8,11041,294,10635,758,454,39.7,3.5,0.31,2.26,1.05,3.62,2111.4,0.96,1124.6,0.53,20.4,38.4,0.2,0.23,0.36,0.31,0.45,0.51,0,28.64,0.625,0.836,2.8647,0.3694,0.0638,0.0712,0.2098,0.0247,0.8222,4.9469,5.5184,16.2654,1.9126,0.0638,0.0712,0.2098,0.0247,0.3694,0.2195,0.2448,0.7217,0.0849,1.2709,3.6824,3.3216,406.56,366.72
9,8477,443,8488,706,382,26.3,4.34,-0.73,0.51,0.14,-0.08,2297.3,1,1317.8,0.57,16,27.8,0.07,0.19,0.18,0.29,0.3,0.35,0.32,23.99,0.544,0.811,2.5051,0.4303,0.0738,0.1059,0.2147,0.0359,0.9576,4.1155,5.904,11.9707,2.003,0.0738,0.1059,0.2147,0.0359,0.4303,0.2539,0.3642,0.7385,0.1236,1.4802,4.1026,3.1479,347.77,266.85
10,11666,206,12136,752,381,28.3,2.85,0.38,0.36,0.26,1,1822.6,1.04,906.5,0.5,20.3,40.8,0.27,0.2,0.29,0.26,0.44,0.4,#N/A,27.01,0.604,0.817,2.7409,0.3845,0.0799,0.0736,0.2087,0.0223,0.8557,5.6123,5.1685,14.6632,1.5641,0.0799,0.0736,0.2087,0.0223,0.3845,0.2748,0.2531,0.7181,0.0766,1.3227,4.2029,3.4901,490.33,407.17
